district,total_eligible,matched,match_rate
South Shields,6,5,0.8333333333333334
Shrewsbury (1935 onw),6,5,0.8333333333333334
Shrewsbury (1837-71),6,5,0.8333333333333334
Hay,24,20,0.8333333333333334
Bellingham,37,31,0.8378378378378378
Montgomery,25,21,0.84
Sturminster (1959 to 1974),19,16,0.8421052631578947
Sturminster (to 1958),19,16,0.8421052631578947
Leicester (1837-1974),13,11,0.8461538461538461
Hartley Wintney,13,11,0.8461538461538461
Cardiff (1837-1974),47,40,0.851063829787234
Cardiff (1996 onw),47,40,0.851063829787234
Cardigan,27,23,0.8518518518518519
Swansea,27,23,0.8518518518518519
Clitheroe,35,30,0.8571428571428571
Ruthin,21,18,0.8571428571428571
Ashbourne,63,54,0.8571428571428571
Derby,7,6,0.8571428571428571
Cookham,7,6,0.8571428571428571
Sheppey,7,6,0.8571428571428571
Hoo,7,6,0.8571428571428571
Norwich,43,37,0.8604651162790697
Beverley (1974 onw),36,31,0.8611111111111112
Beverley (1837-1937),36,31,0.8611111111111112
Buckingham,29,25,0.8620689655172413
Bosmere,37,32,0.8648648648648649
Ffestiniog,15,13,0.8666666666666667
East Ward,30,26,0.8666666666666667
Westbury on Severn,15,13,0.8666666666666667
Axminster,15,13,0.8666666666666667
Builth,30,26,0.8666666666666667
Cirencester,38,33,0.868421052631579
Wakefield,23,20,0.8695652173913043
Wigton,31,27,0.8709677419354839
Ludlow,32,28,0.875
Newport M,40,35,0.875
Gloucester (1974 onw),40,35,0.875
Hatfield,8,7,0.875
Gloucester (1837-1937),40,35,0.875
Holborn,8,7,0.875
Stroud (1837 onw),16,14,0.875
Shifnal,16,14,0.875
Whitchurch H,8,7,0.875
Wrexham (1996 onw),56,49,0.875
Wrexham (1837-1974),56,49,0.875
Blean,16,14,0.875
Auckland,33,29,0.8787878787878788
Bridge,25,22,0.88
Pickering,25,22,0.88
Whitehaven,25,22,0.88
Cleobury Mortimer,17,15,0.8823529411764706
Chard,34,30,0.8823529411764706
Ongar,26,23,0.8846153846153846
Loughborough,26,23,0.8846153846153846
Alderbury,26,23,0.8846153846153846
Belper,35,31,0.8857142857142857
Hertford,18,16,0.8888888888888888
Bristol,18,16,0.8888888888888888
Helston,18,16,0.8888888888888888
Orsett,18,16,0.8888888888888888
South Stoneham,9,8,0.8888888888888888
Newcastle under Lyme,9,8,0.8888888888888888
Lichfield,36,32,0.8888888888888888
Tamworth,27,24,0.8888888888888888
Chertsey,9,8,0.8888888888888888
Henstead,37,33,0.8918918918918919
Ulverston,28,25,0.8928571428571429
Pocklington (1837-1937),47,42,0.8936170212765957
Pocklington (1974 onw),47,42,0.8936170212765957
Barrow upon Soar,38,34,0.8947368421052632
Billesdon,38,34,0.8947368421052632
Devizes,29,26,0.896551724137931
St Neots,29,26,0.896551724137931
Kendal (1974 onw),58,52,0.896551724137931
Ross,29,26,0.896551724137931
Kendal (1837-1937),58,52,0.896551724137931
Bradfield,29,26,0.896551724137931
Faringdon,29,26,0.896551724137931
Altrincham,39,35,0.8974358974358975
Penrith,39,35,0.8974358974358975
Aberystwyth,30,27,0.9
Flegg,20,18,0.9
Canterbury,20,18,0.9
Neath (1974 onw),30,27,0.9
New Forest,10,9,0.9
Neath (1837-1970),30,27,0.9
Skipton (to 1946),50,45,0.9
Presteigne (1837-77),41,37,0.9024390243902439
Settle,31,28,0.9032258064516129
Mansfield,21,19,0.9047619047619048
Leyburn,42,38,0.9047619047619048
Bangor,21,19,0.9047619047619048
Skirlaugh,42,38,0.9047619047619048
Thornbury,21,19,0.9047619047619048
Blofield,32,29,0.90625
Droitwich,32,29,0.90625
Helmsley,54,49,0.9074074074074074
Leek,22,20,0.9090909090909091
West London,11,10,0.9090909090909091
Ripon,55,50,0.9090909090909091
