year,n_districts,total_active_rows,share_usable,median_matched_share,p10_matched_share,p90_matched_share,d_share_usable,d_n_districts
1974,532,13671,0.41541353383458646,0.0,0.0,0.799166666666667,-0.052940896545160376,58.0
1894,619,14650,0.8949919224555735,0.8431372549019608,0.0,0.9764069264069264,-0.028341410877759876,19.0
1934,635,13780,0.7511811023622047,0.6956521739130435,0.0,0.9333333333333332,-0.030725198122448005,16.0
1965,538,12154,0.4628252788104089,0.0,0.0,0.8473076923076923,-0.015186193464925668,15.0
1935,646,14285,0.7120743034055728,0.6628787878787878,0.0,0.9230769230769232,-0.03910679895663194,11.0
1932,637,13863,0.7943485086342229,0.7560975609756098,0.0,0.95,-0.012669035225426173,10.0
1985,246,7213,0.3821138211382114,0.0,0.0,0.6833333333333333,-0.007927672637722205,5.0
1898,627,14201,0.8676236044657097,0.8260869565217391,0.0,0.9647783251231528,-0.01199116278950696,4.0
1964,523,12231,0.4780114722753346,0.0,0.0,0.8566820276497695,-0.0036840961254361315,4.0
1862,688,16227,0.9302325581395349,0.9107142857142856,0.5164513350559862,1.0,-0.005439956480348118,4.0
1941,547,12624,0.5210237659963437,0.2133333333333333,0.0,0.9,-0.0038381124566949643,4.0
1895,623,14471,0.8860353130016051,0.8333333333333334,0.0,0.967741935483871,-0.008956609453968367,4.0
1875,676,16050,0.9201183431952663,0.9047619047619048,0.5,1.0,-0.008453085376162295,4.0
1861,684,16195,0.935672514619883,0.913311862587225,0.5563307493540052,1.0,-0.005503955968352292,4.0
1859,680,16160,0.9411764705882353,0.9145366023300294,0.5714285714285714,1.0,-0.004170649057259501,3.0
