district,usable_1851_backbone
Acle,0
Aldershot,0
Aldridge & Brownhills,0
Aled,0
Alston,0
Amounderness,0
Anglesey East,0
Anglesey West,0
Appleby,0
Ashford (1941-1998),0
Ashton (1937-74),0
Aylesbury Vale,0
Aysgarth,0
Barking & Dagenham,0
Barking (1965-1980),0
Barkston Ash,0
Barrow in Furness (1876 onw),0
Barton (1934-1980),0
Barton Regis,0
Basildon,0
Bathavon,0
Battersea (1930-1965),0
Bedwellty,0
Berkhamsted (1939-74),0
Bermondsey (1837-69),0
Bermondsey (1934 onw),0
Bethnal Green,0
Bexley,0
Bilston,0
Birkenhead (1861-1998),0
Birmingham (1837-1924),0
Birmingham (1932 onw),0
Birmingham North,0
Birmingham South,0
Blackpool & Fylde,0
Blackpool (1936-1974),0
Blyth,0
Bootle Lan,0
Border,0
Bourne & South Kesteven,0
Bournemouth & Christchurch,0
Bournemouth (1932 onw),0
Bracknell,0
Bramham (1862-69),0
Bramley & Holbeck,0
Bramley (1863-1925),0
Brent,0
Brentwood,0
Brighton,0
Broxbourne,0
Bucklow,0
Buckrose,0
Bullingdon,0
Bulmer,0
Burnley & Pendle,0
Caerleon,0
Caernarvon (1937-1974),0
Calder,0
Camborne-Redruth,0
Cambridgeshire (1935-1974),0
Camden,0
Cannock,0
Cannock Chase,0
Cardiganshire Central,0
Cardiganshire North,0
Cardiganshire South,0
Castleford,0
Central Cleveland,0
Chanctonbury,0
Chatham,0
Chelsea (1837 only),0
Chelsea (1841-1981),0
Cheshire East,0
Chester,0
Chester & Ellesmere Port,0
Chiltern & Beaconsfield,0
Chiltern & South Bucks,0
City of Westminster,0
Claro,0
Cleethorpes,0
Clerkenwell,0
Cleveland,0
Coalville,0
Congleton & Crewe,0
Conway Valley,0
Corby,0
Crawley,0
Crewe (1937-1974),0
Crosby (1934-1980),0
Dacorum,0
Darwen,0
Deben,0
Deptford,0
Devon Central,0
Devonport,0
Don Valley,0
Dunstable (1964-1999),0
Durham Central & South Eastern,0
Durham Central (1938-1971),0
Durham Central (1974 onw),0
Durham Eastern,0
Durham North Eastern,0
Durham North Western,0
Durham Northern,0
Durham South Eastern,0
Durham South Western,0
Durham Western,0
Ealing,0
East Cleveland,0
East Dereham,0
East Elloe,0
East Glamorgan,0
East Ham,0
East Preston,0
East Staffordshire,0
Eastleigh,0
Elstree & Potters Bar,0
Enfield,0
Epping Forest,0
Essex South Western,0
Ewecross,0
Exmoor,0
Fakenham,0
Farnworth (1935-1974),0
Fenland,0
Finsbury (see Holborn before 1930),0
Fleetwood,0
Folkestone (1941-1974),0
Forden,0
Forest of Dean,0
Fulham,0
Gipping,0
Gipping & Hartismere,0
Glossop,0
Gloucester City,0
Gloucester Rural,0
Gosport,0
Gower,0
Grantham & West Kesteven,0
Great Ouseburn,0
Great Yarmouth (1939 onw),0
Grimsby,0
Halton,0
Hammersmith,0
Hampstead,0
Haringey,0
Harlow,0
Harrow (1947 onw),0
Hartlepool (1859-1938),0
Hartlepool (1967-74),0
Hartlepool (1996 onw),0
Harwich,0
Hastings & Rother,0
Havering,0
Hawarden,0
Haywards Heath,0
Hertford & Ware,0
Heywood,0
Hillingdon (1965 onw),0
Hiraethog,0
Holbeck,0
Holderness,0
Holyhead,0
Horwich,0
Hounslow,0
Hove (1935-1998),0
Howdenshire (1937-1974),0
Hull,0
Huntingdonshire North,0
Hyde (1937-1974),0
Hyndburn & Rossendale,0
Ilford,0
Ilkeston,0
Ince,0
Isles of Scilly (1901 onw),0
Islington,0
Jarrow,0
Kensington & Chelsea,0
Kerrier,0
Ketton,0
Kingsclere & Whitchurch (1932-2000),0
Kingston upon Thames,0
Kingswinford (1934-37),0
Kingswood (1937-74),0
Kirk Deighton,0
Kirkstall,0
Knowsley,0
Lambeth,0
Leeds North,0
Leeds South,0
Leicestershire Central,0
Limehouse,0
Littleborough,0
Liverpool (1837-1934),0
Liverpool (1969 onw),0
Liverpool North,0
Liverpool South,0
Long Ashton,0
Lothingland (1935-1974),0
Lower Agbrigg,0
Lunesdale,0
Maelor,0
Maidenhead,0
