district,usable_1851_backbone
Malvern,0
Manchester North,0
Manchester South,0
March,0
Marylebone (1837-1901),0
Mendip,0
Merioneth East,0
Merioneth North,0
Merioneth South,0
Merton,0
Mid Devon,0
Mid Glamorgan,0
Mid Warwickshire,0
Middlesbrough (1875-1968),0
Middlesbrough (1996 onw),0
Middlesex South,0
Middleton (1933-74),0
Midhurst & Petworth,0
Mile End Old Town,0
Millom,0
Milton Keynes,0
Nelson (1936-1974),0
Newham,0
Newton,0
North Bierley,0
North Bucks,0
North Cleveland,0
North Cotswold,0
North Dorset,0
North East Cheshire,0
North East Hampshire,0
North Kesteven,0
North Shropshire,0
North Tyneside,0
North Tyneside East,0
North Tyneside West,0
North Walsham,0
North Warwickshire,0
Northampton & Hardingstone,0
Northumberland Central,0
Northumberland North First,0
Northumberland North Second,0
Northumberland South,0
Northumberland West,0
Norton Radstock,0
Norwich Outer,0
Nuneaton & Bedworth,0
Oldbury,0
Oundle & Thrapston,0
Overton,0
Paddington,0
Penistone (1911-1946),0
Ploughley & Bullingdon,0
Ploughley (1964 onw),0
Plympton (1936-74),0
Pontardawe,0
Pontypridd,0
Poplar & Bethnal Green,0
Portsmouth (1900 onw),0
Preston & South Ribble,0
Prestwich,0
Pwllheli & Portmadoc,0
Radnorshire East,0
Radnorshire West,0
Reading & Wokingham,0
Redbridge (1965 onw),0
Repton (1937-1974),0
Ribble Valley,0
Richmond upon Thames,0
Ringwood & Fordingbridge,0
Romsey & Stockbridge,0
Rother Valley,0
Rotherhithe (to 1869),0
Rowley Regis,0
Rushcliffe,0
Rutland (1974-1995),0
Rutland (1997 onw),0
Ryedale,0
Saddleworth,0
Sandwell,0
Scunthorpe (1938-1996),0
Sedgemoor,0
Sefton North,0
Sefton South,0
Shepway,0
Shoreditch,0
Sidcup,0
Sittingbourne (1941 onw),0
Sleaford & East Kesteven,0
Slough,0
Smallburgh,0
Smethwick,0
Sodbury (1937-1996),0
Solihull North,0
Solihull South,0
South Dorset,0
South East Hampshire,0
South Staffordshire,0
South Warwickshire,0
Southend on Sea,0
Southport,0
Southwark(1901 onw),0
Spen Valley,0
St George Hanover Square,0
St George Southwark,0
St George in the East,0
St Giles,0
St Helens,0
St James Westminster,0
St Luke,0
St Martin (1913-33),0
St Marylebone (1902-1977),0
St Olave Bermondsey (1902-1934),0
St Pancras (1902-1977),0
Staffordshire Moorlands,0
Staincliffe,0
Staincross,0
Stevenage,0
Stoke Damerel,0
Stoke Newington (1930-1979),0
Stoke and Wolstanton,0
Stoke on Trent,0
Strood & Hoo,0
Strood (1885-1923),0
Surrey Mid Eastern,0
Surrey North Eastern,0
Surrey North Western,0
Surrey Northern (1948-65),0
Surrey Northern (1965 onw),0
Surrey South Eastern,0
Surrey South Western,0
Sutton (1965 onw),0
Sutton Coldfield,0
Swadlincote,0
Swale,0
Swindon,0
Tameside,0
Taunton Deane,0
Teesside,0
Teesside North,0
Teesside South,0
Thurrock (1939 onw),0
Torbay,0
Tower Hamlets,0
Toxteth Park,0
Trafford,0
Trowbridge,0
Tunbridge Wells,0
Upper Agbrigg,0
Uttlesford,0
Vale Royal,0
Vaynor,0
Wainford (1935-1948),0
Wallasey,0
Waltham Forest,0
Warley,0
Warley East,0
Warley West,0
Warwick & Leamington,0
Waveney,0
Wednesbury,0
Welshpool,0
Welton (1938-1974),0
Wenlock,0
Wensleydale,0
West Cheshire,0
West Glamorgan,0
West Hartlepool (1938-1967),0
West Lancashire,0
West Oxfordshire,0
West Somerset,0
Westminster (1870-1913),0
Westminster (1965 onw),0
Westminster St Margaret,0
Westmorland North,0
Westmorland South,0
Weston super Mare (1936-1996),0
Wetherby,0
Wharfedale,0
Whittlesey,0
Widnes,0
Willesden,0
Windsor & Maidenhead,0
Wood Green,0
Woolwich,0
Worth Valley,0
Wrekin,0
Yarmouth & Flegg,0
Yarmouth (1837-1923),0
Ystradgynlais,0
