year,total_deaths,linked_deaths,unlinked_deaths,link_rate,usable_1851_backbone,non_usable_1851_backbone,usable_rate_of_linked,mean_matched_share,median_matched_share,p10_matched_share,p90_matched_share
1858,478237,430414,47823,0.900001463709416,379622,50792,0.8819926861115113,0.7590211076474814,0.8928571428571429,0.0,1.0
1895,572147,454041,118106,0.7935740290519744,388810,65231,0.8563323576505205,0.6415278905819272,0.75,0.0,0.9545454545454546
1935,481481,399266,82215,0.8292455984763677,244375,154891,0.6120606312583591,0.4339222386037392,0.5384615384615384,0.0,0.9090909090909092
1975,592940,233347,359593,0.39354234829831014,70977,162370,0.3041693272251197,0.14003909485950802,0.0,0.0,0.5666666666666667
