year,district,active_parish_rows,matched_parish_rows,matched_share,usable_1851_backbone,n_parishes_matched,total_area_km2,dominant_parish_1851_id,dominant_parish_1851_name,dominant_parish_area_km2,dominant_parish_area_share,centroid_x,centroid_y,centroid_distance_km,centroid_matched_via,geometry_source,district_std,location_imputed,imputation_failed,imputed_from_district_x,imputed_distance_km_x,imputation_source_point,imputed_from_district_y,imputed_distance_km_y
1851,Aberayron,14,7,0.5,1,7,137.17882620520407,8918.0,LLANARTH,60.67368321606423,0.4422962704557862,248477.6186515609,257228.0189546177,1.5307466323575911,within,1851_parish_reconstruction,aberayron,0,0,,,,,
1851,Abergavenny,27,17,0.6296296296296297,1,17,216.0919015300196,8918.0,LLANARTH,60.67368321606423,0.2807772192593502,304266.66843209043,229757.80185300164,5.743097448060268,within,1851_parish_reconstruction,abergavenny,0,0,,,,,
1851,Aberystwyth,30,22,0.7333333333333333,1,22,384.8554777143808,8844.0,UPPER LLANFIHANGEL-Y-CREUDDYN,66.92597269091972,0.1738989739431189,269551.3849979241,280584.3162278993,1.436276407334207,within,1851_parish_reconstruction,aberystwyth,0,0,,,,,
1851,Abingdon,40,34,0.85,1,34,154.13572001562747,1187.0,RADLEY,10.60805038476567,0.0688227906139481,448882.2590102259,198934.63864635903,0.0944358351061114,within,1851_parish_reconstruction,abingdon,0,0,,,,,
1851,Alcester,22,20,0.9090909090909092,1,20,180.60890328125276,18379.0,INKBERROW,27.70913579931462,0.153420652558665,409321.017488421,259571.35405720057,2.0450005882385036,within,1851_parish_reconstruction,alcester,0,0,,,,,
1851,Alderbury,26,23,0.8846153846153846,1,23,174.56160692052595,18220.0,WHITEPARISH,24.609103158569297,0.1409766075868749,418139.34744982264,127357.83414173286,1.664134799017657,within,1851_parish_reconstruction,alderbury,0,0,,,,,
1851,Alnwick,62,59,0.9516129032258064,1,59,318.1853861855994,208.0,EDLINGHAM,23.587092092824413,0.0741300295893096,417324.2394053571,613219.1700580103,0.5529857990477185,within,1851_parish_reconstruction,alnwick,0,0,,,,,
1851,Alresford,19,19,1.0,1,19,154.89688135766684,6431.0,ROPLEY,18.900990435424315,0.1220230534647157,460266.01539449143,132269.01854476376,0.4416715937533186,within,1851_parish_reconstruction,alresford,0,0,,,,,
1851,Alston,1,0,0.0,0,0,,,,,,,,,,not_representable_on_1851_backbone,alston,0,1,,,,,
1851,Alton (1837 onw),20,19,0.95,1,19,164.33441929174478,6415.0,SELBORNE,31.98890095898231,0.1946573401777265,469042.3336238316,139919.7251465055,3.9629495877890286,within,1851_parish_reconstruction,alton,0,0,,,,,
