year,district,active_parish_rows,active_unique_parishes,matched_parish_rows,matched_unique_parishes,matched_share,usable_1851_backbone
1852,Berkhampstead (1837-1939),10,10,9,9,0.9,1
1852,Bermondsey (1837-69),1,1,0,0,0.0,0
1852,Bermondsey (1934 onw),1,1,0,0,0.0,0
1852,Berwick,1,1,1,1,1.0,1
1852,Bethnal Green,1,1,0,0,0.0,0
1852,Beverley (1837-1937),36,36,30,30,0.8333333333333334,1
1852,Beverley (1974 onw),36,36,30,30,0.8333333333333334,1
1852,Bicester,36,36,33,33,0.9166666666666666,1
1852,Bideford,19,19,19,19,1.0,1
1852,Biggleswade,28,28,27,27,0.9642857142857143,1
1852,Billericay,25,25,25,25,1.0,1
1852,Billesdon,38,38,34,34,0.8947368421052632,1
1852,Bingham,42,42,40,40,0.9523809523809523,1
1852,Birmingham (1837-1924),1,1,0,0,0.0,0
1852,Birmingham (1932 onw),1,1,0,0,0.0,0
1852,Bishops Stortford,20,20,19,19,0.95,1
1852,Blaby,27,27,25,25,0.9259259259259259,1
1852,Blackburn,24,24,24,24,1.0,1
1852,Blandford,34,34,33,33,0.9705882352941176,1
1852,Blean,16,16,14,14,0.875,1
1852,Blofield,32,32,27,27,0.84375,1
1852,Blything,49,49,47,47,0.9591836734693877,1
1852,Bodmin,21,21,21,21,1.0,1
1852,Bolton,26,26,23,23,0.8846153846153846,1
1852,Bootle Cul,12,12,8,8,0.6666666666666666,1
1852,Bosmere,37,37,31,31,0.8378378378378378,1
1852,Boston,47,47,35,35,0.7446808510638298,1
1852,Bourne (1837-1933),37,37,35,35,0.9459459459459459,1
1852,Bourne (1974 onw),37,37,35,35,0.9459459459459459,1
1852,Brackley,29,29,28,28,0.9655172413793104,1
1852,Bradfield,29,29,26,26,0.896551724137931,1
1852,Bradford,21,21,18,18,0.8571428571428571,1
1852,Bradford upon Avon,9,9,9,9,1.0,1
1852,Braintree,14,14,14,14,1.0,1
1852,Brampton,17,17,14,14,0.8235294117647058,1
1852,Brecknock,43,43,24,24,0.5581395348837209,1
1852,Brentford,10,10,10,10,1.0,1
1852,Bridge,25,25,21,21,0.84,1
1852,Bridgend (1996 onw),56,56,51,51,0.9107142857142857,1
1852,Bridgend (to 1970),56,56,51,51,0.9107142857142857,1
1852,Bridgnorth,30,30,29,29,0.9666666666666667,1
1852,Bridgwater,41,41,37,37,0.9024390243902439,1
1852,Bridlington (1837-1937),32,32,29,29,0.90625,1
1852,Bridlington (1974 onw),32,32,29,29,0.90625,1
1852,Bridport (1959 to 1997),19,19,18,18,0.9473684210526315,1
1852,Bridport (to 1958),19,19,18,18,0.9473684210526315,1
1852,Brighton,1,1,0,0,0.0,0
1852,Bristol,18,18,13,13,0.7222222222222222,1
1852,Brixworth,36,36,33,33,0.9166666666666666,1
1852,Bromley,16,16,15,15,0.9375,1
1852,Bromsgrove,11,11,10,10,0.9090909090909091,1
1852,Bromyard,34,34,30,30,0.8823529411764706,1
1852,Buckingham,29,29,25,25,0.8620689655172413,1
1852,Builth,30,30,24,24,0.8,1
1852,Burnley,26,26,19,19,0.7307692307692307,1
1852,Burton upon Trent,54,54,51,51,0.9444444444444444,1
1852,Bury,12,12,11,11,0.9166666666666666,1
1852,Bury St Edmunds,2,2,2,2,1.0,1
1852,Caistor,76,76,73,73,0.9605263157894737,1
1852,Calne,11,11,11,11,1.0,1
1852,Camberwell,1,1,1,1,1.0,1
1852,Cambridge (1837-1935),14,14,13,13,0.9285714285714286,1
1852,Cambridge (1974 onw),14,14,13,13,0.9285714285714286,1
1852,Camelford,14,14,14,14,1.0,1
1852,Canterbury,20,20,15,15,0.75,1
1852,Cardiff (1837-1974),47,47,36,36,0.7659574468085106,1
1852,Cardiff (1996 onw),47,47,36,36,0.7659574468085106,1
1852,Cardigan,27,27,22,22,0.8148148148148148,1
1852,Carlisle,20,20,14,14,0.7,1
1852,Carmarthen,29,29,23,23,0.7931034482758621,1
1852,Carnarvon,16,16,9,9,0.5625,1
1852,Castle Ward,78,78,77,77,0.9871794871794872,1
1852,Catherington,6,6,5,5,0.8333333333333334,1
1852,Caxton,26,26,24,24,0.9230769230769231,1
1852,Chapel en le Frith,17,17,14,14,0.8235294117647058,1
1852,Chard,34,34,30,30,0.8823529411764706,1
1852,Cheadle,15,15,13,13,0.8666666666666667,1
1852,Chelmsford,31,31,29,29,0.9354838709677419,1
1852,Chelsea (1837 only),1,1,0,0,0.0,0
1852,Chelsea (1841-1981),1,1,0,0,0.0,0
1852,Cheltenham,13,13,12,12,0.9230769230769231,1
1852,Chepstow,40,40,35,35,0.875,1
1852,Chertsey,9,9,8,8,0.8888888888888888,1
1852,Cheshire East,75,75,0,0,0.0,0
1852,Chester le Street,20,20,19,19,0.95,1
1852,Chesterfield,34,34,32,32,0.9411764705882353,1
1852,Chesterton,38,38,36,36,0.9473684210526315,1
1852,Chichester,24,24,23,23,0.9583333333333334,1
1852,Chippenham,29,29,28,28,0.9655172413793104,1
1852,Chipping Norton,34,34,28,28,0.8235294117647058,1
1852,Chipping Sodbury,23,23,22,22,0.9565217391304348,1
1852,Chorley,26,26,26,26,1.0,1
1852,Chorlton,12,12,11,11,0.9166666666666666,1
1852,Christchurch (1837-1925),3,3,3,3,1.0,1
1852,Christchurch (1932-1974),3,3,3,3,1.0,1
1852,Church Stretton,14,14,10,10,0.7142857142857143,1
1852,Cirencester,38,38,33,33,0.868421052631579,1
1852,Cleobury Mortimer,17,17,15,15,0.8823529411764706,1
1852,Clerkenwell,1,1,0,0,0.0,0
1852,Clifton,12,12,9,9,0.75,1
1852,Clitheroe,35,35,28,28,0.8,1
1852,Clun,23,23,17,17,0.7391304347826086,1
1852,Clutton,29,29,27,27,0.9310344827586207,1
1852,Cockermouth,50,50,43,43,0.86,1
1852,Colchester,16,16,15,15,0.9375,1
1852,Congleton,32,32,32,32,1.0,1
