constructed_district,official_G_NAME,official_G_UNIT,NATION,G_YEAR,matched_via,centroid_distance_km,nearest_dist_m,centroid_constructed_wkt,centroid_official_wkt
Westhampnett,PETWORTH,10097654.0,ENGLAND,1851.0,within,6.452070420167949,,POINT (497360.319954 126354.123548),POINT (503688.585292 127612.006895)
Weymouth (1959-97),DORCHESTER,10428567.0,ENGLAND,1851.0,within,3.21466020793356,,POINT (367984.661765 93650.307154),POINT (367140.347642 96752.108875)
Weymouth (to 1958),DORCHESTER,10428567.0,ENGLAND,1851.0,within,3.21466020793356,,POINT (367984.661765 93650.307154),POINT (367140.347642 96752.108875)
Wheatenhurst,STROUD,10111626.0,ENGLAND,1851.0,within,6.281558174958633,,POINT (385072.447552 210216.356571),POINT (387222.066884 204314.059574)
Whitby,PICKERING,10075543.0,ENGLAND,1851.0,within,4.419686624130412,,POINT (482231.421667 493015.942896),POINT (480464.663193 488964.746239)
Whitchurch H,KINGSCLERE,10139351.0,ENGLAND,1851.0,within,8.792342030252208,,POINT (440906.320334 158301.381295),POINT (449694.727846 158564.386563)
Whitechapel,WHITECHAPEL,10174661.0,ENGLAND,1851.0,within,0.3261897085675556,,POINT (533841.590391 181646.97432),POINT (534045.424185 181392.314723)
Whitehaven,WHITEHAVEN,10139144.0,ENGLAND,1851.0,within,1.3063819137308026,,POINT (305014.942489 513184.887877),POINT (306225.894263 512694.755745)
Wigan,WIGAN,10167413.0,ENGLAND,1851.0,within,4.05213953371538,,POINT (357573.871241 409499.641513),POINT (356007.990675 405762.282438)
Wigton,COCKERMOUTH,10210550.0,ENGLAND,1851.0,within,6.65510632487482,,POINT (323115.73551 521579.046429),POINT (317712.416815 525464.22175)
Williton,WILLITON,10187588.0,ENGLAND,1851.0,within,5.927202227439576,,POINT (306947.64335 141785.35827),POINT (301097.381482 140833.432689)
Wilton,WILTON,10154807.0,ENGLAND,1851.0,within,6.561676795001547,,POINT (406980.964617 137276.127726),POINT (404486.793248 131206.96703)
Wimborne,DEVIZES,10220762.0,ENGLAND,1851.0,within,7.922468252392099,,POINT (398930.160835 151883.208997),POINT (402481.047422 158965.349045)
Wincanton,FROME,10112163.0,ENGLAND,1851.0,within,4.856184305585353,,POINT (380031.730704 148063.280791),POINT (375182.458883 148322.295894)
Winchcomb,STOW ON THE WOLD,10139030.0,ENGLAND,1851.0,within,8.68617193820309,,POINT (422496.112799 231156.473394),POINT (418263.101215 223571.541234)
Winchester,WINCHESTER,10428579.0,ENGLAND,1851.0,within,8.859596221486225,,POINT (447922.805935 139051.839122),POINT (447647.443316 130196.523169)
Windsor,ETON,10112151.0,ENGLAND,1851.0,within,7.243635678494509,,POINT (491345.427185 183569.493671),POINT (498480.89661 182322.363392)
Winslow,BICESTER,10030146.0,ENGLAND,1851.0,within,7.229488788910989,,POINT (460193.366588 228921.789383),POINT (456465.413966 222727.608452)
Wirral (1837-1974),WIRRAL,10075440.0,ENGLAND,1851.0,within,9.407691691942153,,POINT (335401.851804 374682.802657),POINT (330408.497182 382655.949626)
Wisbech,WISBECH,10197028.0,ENGLAND,1851.0,within,3.1337921312524677,,POINT (546785.452305 312322.553388),POINT (548305.150967 309581.90217)
Witham,WITHAM,10139168.0,ENGLAND,1851.0,within,0.7756577989999183,,POINT (583604.589556 217237.118855),POINT (582929.25846 216855.578645)
Witney,HIGHWORTH AND SWINDON,10194118.0,ENGLAND,1851.0,within,10.876631864133259,,POINT (414181.672974 196063.512364),POINT (418113.582218 185922.446818)
Woburn,NEWPORT PAGNELL,10100148.0,ENGLAND,1851.0,within,7.3742408235475505,,POINT (486675.275661 236162.843234),POINT (487377.728415 243503.550819)
Wokingham,WOKINGHAM,10029673.0,ENGLAND,1851.0,within,1.069742894156195,,POINT (477886.801112 171113.493758),POINT (477598.870543 170083.228818)
Wolstanton,WOLSTANTON AND BURSLEM,10055714.0,ENGLAND,1851.0,within,1.2345758430385676,,POINT (386298.884018 349813.159743),POINT (385661.782003 350870.646639)
Wolverhampton,WOLVERHAMPTON,10428622.0,ENGLAND,1851.0,within,1.6064208379846965,,POINT (386614.242647 292886.109592),POINT (386853.463982 294474.618661)
Woodbridge,RISBRIDGE,10063243.0,ENGLAND,1851.0,within,5.836542633901165,,POINT (577024.725843 249581.874196),POINT (571357.623069 248185.745238)
Woodstock,WOODSTOCK,10005310.0,ENGLAND,1851.0,within,3.7052738140921386,,POINT (445274.874182 217209.816235),POINT (445518.935622 220907.043311)
Worksop,WORKSOP,10043815.0,ENGLAND,1851.0,within,4.192178105615915,,POINT (452968.76245 383273.361832),POINT (456306.119473 380736.354665)
Worthing (1837-69),THAME,10111638.0,ENGLAND,1851.0,within,7.90693465075859,,POINT (469650.088716 196751.198667),POINT (467821.184478 204443.709627)
Worthing (1935 onw),THAME,10111638.0,ENGLAND,1851.0,within,7.90693465075859,,POINT (469650.088716 196751.198667),POINT (467821.184478 204443.709627)
Wortley (1838-1974),ECCLESALL BIERLOW,10030330.0,ENGLAND,1851.0,within,4.5512793017042386,,POINT (430627.326386 379249.283828),POINT (431179.355316 383766.961035)
Wrexham (1837-1974),ELLESMERE,10075671.0,ENGLAND,1851.0,within,10.865691655875473,,POINT (347925.72645 341505.748003),POINT (342227.440386 332254.110792)
Wrexham (1996 onw),ELLESMERE,10075671.0,ENGLAND,1851.0,within,10.865691655875473,,POINT (347925.72645 341505.748003),POINT (342227.440386 332254.110792)
Wycombe,WYCOMBE,10111705.0,ENGLAND,1851.0,within,0.6966519158545242,,POINT (482690.166003 197207.364707),POINT (483245.890329 197627.477033)
Yeovil,LANGPORT,10139363.0,ENGLAND,1851.0,within,13.448294067812261,,POINT (357520.773881 128363.848679),POINT (344206.973557 126466.657526)
York (1837-1937),HEMSWORTH,10005401.0,ENGLAND,1851.0,within,7.63921599294211,,POINT (437064.50176 414500.549315),POINT (444660.107595 413685.446263)
York (1938 onw),HEMSWORTH,10005401.0,ENGLAND,1851.0,within,7.63921599294211,,POINT (437064.50176 414500.549315),POINT (444660.107595 413685.446263)
Aylsham,,,,,nearest,11.360003941715144,2381.5046846454184,POINT (574884.567896 347541.114625),POINT (577237.723436 336427.503666)
Cambridge (1837-1935),,,,,nearest,22.213715521154647,5367.679885586571,POINT (320481.867495 151681.974492),POINT (301097.381482 140833.432689)
Cambridge (1974 onw),,,,,nearest,22.213715521154647,5367.679885586571,POINT (320481.867495 151681.974492),POINT (301097.381482 140833.432689)
Freebridge Lynn,,,,,nearest,12.508351279193196,1533.779673392129,POINT (548554.052528 331830.243007),POINT (539756.774886 322938.293963)
Mutford,,,,,nearest,14.45565452916069,721.7841205414097,POINT (550705.845458 352354.977906),POINT (545505.896627 365842.990362)
Pembroke,,,,,nearest,14.533077136493157,846.0436256184455,POINT (221871.732672 206265.863225),POINT (213171.821521 217907.249612)
Thornbury,,,,,nearest,8.049736737261922,286.67610503074656,POINT (354923.293223 189978.836925),POINT (351414.059115 197223.389189)
Worcester,,,,,nearest,18.135758794384166,8236.122227269747,POINT (257151.59991 156546.67613),POINT (259439.995467 138555.873124)
