constructed_district,official_G_NAME,official_G_UNIT,NATION,G_YEAR,matched_via,centroid_distance_km,nearest_dist_m,centroid_constructed_wkt,centroid_official_wkt
Shardlow,SHARDLOW,10220786.0,ENGLAND,1851.0,within,2.2534975265220183,,POINT (442762.395133 329771.688589),POINT (442669.163296 332023.256693)
Sheffield,ASHBOURNE,10174788.0,ENGLAND,1851.0,within,7.861057972600714,,POINT (421641.453299 342038.754762),POINT (418846.895841 349386.317696)
Sheppey,SHEPPEY,10084428.0,ENGLAND,1851.0,within,1.617910312057893,,POINT (598678.056536 169904.25122),POINT (597107.971296 170294.720316)
Shepton Mallet,SHEPTON MALLET,10043979.0,ENGLAND,1851.0,within,4.924809391698833,,POINT (358374.359466 140062.979542),POINT (363138.773399 141309.617987)
Sherborne,SHEPTON MALLET,10043979.0,ENGLAND,1851.0,within,5.892486387953599,,POINT (369030.516027 141403.237628),POINT (363138.773399 141309.617987)
Shifnal,STAFFORD,10174624.0,ENGLAND,1851.0,within,7.545572084343717,,POINT (400778.292601 320871.450778),POINT (393859.228172 323881.800511)
Shipston on Stour,SHIPSTON ON STOUR,10139612.0,ENGLAND,1851.0,within,2.2473634925535912,,POINT (423395.15467 242487.87122),POINT (424296.092953 240428.999471)
Shrewsbury (1837-71),STRATFORD ON AVON,10043750.0,ENGLAND,1851.0,within,6.1808344621872475,,POINT (418492.479143 261463.944363),POINT (421219.614273 255917.283328)
Shrewsbury (1935 onw),STRATFORD ON AVON,10043750.0,ENGLAND,1851.0,within,6.1808344621872475,,POINT (418492.479143 261463.944363),POINT (421219.614273 255917.283328)
Skipton (to 1946),SKIPTON,10005346.0,ENGLAND,1851.0,within,14.544893579502894,,POINT (398923.307146 444899.325847),POINT (397455.096394 459369.92661)
Skirlaugh,BEVERLEY,10139661.0,ENGLAND,1851.0,within,8.948085545613095,,POINT (498886.708856 448557.635463),POINT (499796.273746 439655.898181)
Sleaford (1974 onw),SLEAFORD,10139624.0,ENGLAND,1851.0,within,3.619223439591389,,POINT (507465.862001 352620.71447),POINT (508859.728794 349280.667514)
Sleaford (to 1933),SLEAFORD,10139624.0,ENGLAND,1851.0,within,3.619223439591389,,POINT (507465.862001 352620.71447),POINT (508859.728794 349280.667514)
Solihull,WARWICK,10029715.0,ENGLAND,1851.0,within,3.243174125730274,,POINT (429777.310834 265182.052057),POINT (429589.069435 268419.758589)
South Molton,SOUTH MOLTON,10187710.0,ENGLAND,1851.0,within,2.133093286720178,,POINT (274823.059107 123683.151334),POINT (274697.077179 125812.521082)
South Shields,SOUTH SHIELDS,10030109.0,ENGLAND,1851.0,within,2.801354874520835,,POINT (438067.441877 564279.371158),POINT (435524.442379 563104.321081)
