year,constructed_district,matched_via,centroid_distance_km,nearest_dist_m,official_index,centroid_constructed_wkt,centroid_official_wkt
1891,Aberayron,within,1.5307466323575913,,106,POINT (248477.618652 257228.018955),POINT (246952.700132 257361.468421)
1891,Abergavenny,within,8.282062681024273,,133,POINT (299684.699978 236119.750381),POINT (298838.893059 227880.989982)
1891,Aberystwyth,within,1.436276407334207,,76,POINT (269551.384998 280584.316228),POINT (268137.541109 280331.461772)
1891,Abingdon,within,0.5126551761744084,,261,POINT (448772.695615 198460.90691),POINT (448801.595937 198972.746827)
1891,Alcester,within,2.256720673763011,,57,POINT (409532.790984 259197.27536),POINT (407284.197183 259388.623521)
1891,Alderbury,within,1.4766881809063195,,580,POINT (418139.34745 127357.834142),POINT (419218.506734 126349.854369)
1891,Alnwick,within,0.5657791011097193,,45,POINT (417293.527016 613214.381788),POINT (417614.868854 612748.715153)
1891,Alresford,within,0.44167159375344306,,278,POINT (460266.015394 132269.018545),POINT (459830.402963 132196.110342)
1891,Alton (1837 onw),within,5.182184676298991,,574,POINT (469042.333624 139919.725147),POINT (473963.373389 138295.408166)
1891,Altrincham,within,0.20536170864053885,,144,POINT (375733.145717 383505.813037),POINT (375938.026727 383491.770144)
1891,Alverstoke,within,0.13586116731322834,,381,POINT (459941.449306 100807.292875),POINT (459946.923068 100943.04373)
1891,Amersham,within,1.4314529168033625,,265,POINT (497078.101667 197524.906601),POINT (495650.922094 197635.432257)
1891,Amesbury,within,5.629397810709402,,628,POINT (418067.955328 161129.620362),POINT (418450.896375 155513.26248)
1891,Ampthill,within,3.328307490983069,,219,POINT (498026.832939 228265.403455),POINT (498039.760387 231593.68584)
1891,Andover,within,1.4573763291641317,,569,POINT (436136.668416 147188.35929),POINT (434878.26001 146453.271507)
1891,Anglesey (1837-1937),within,1.944573650014751,,511,POINT (244079.696424 384396.346139),POINT (243058.933513 386051.462377)
1891,Anglesey (1968-1974),within,1.944573650014751,,511,POINT (244079.696424 384396.346139),POINT (243058.933513 386051.462377)
1891,Ashbourne,within,5.2659867846389155,,158,POINT (420944.475683 344817.500574),POINT (418632.321448 349548.73293)
1891,Ashby de la Zouch,within,2.3175170609335622,,427,POINT (435415.644536 317540.821834),POINT (436570.619648 315531.613578)
1891,Ashton under Lyne (1848-1937),within,6.292705976959022,,28,POINT (398617.681066 433300.364033),POINT (395519.281085 427823.315004)
1891,Aston (1837-1924),within,10.0190582174491,,428,POINT (408800.632447 302348.713837),POINT (410213.120236 312267.706014)
1891,Atcham,within,1.7360347671097631,,531,POINT (354597.199897 344291.217121),POINT (352895.549581 343947.410613)
1891,Atherstone,within,1.5914389585511441,,92,POINT (433695.390575 280633.91499),POINT (433398.282202 279070.455821)
1891,Auckland,within,2.4817418335642176,,3,POINT (416233.162084 532527.657462),POINT (416251.826813 530045.985816)
1891,Axbridge,within,9.220763733706061,,616,POINT (353817.068153 162200.369041),POINT (348983.243368 170052.542102)
1891,Axminster,within,2.0611330980344746,,377,POINT (327873.472389 96464.496165),POINT (328468.866969 98437.761211)
1891,Aylesbury,within,2.372083259498188,,235,POINT (456962.891451 225046.939206),POINT (456465.413966 222727.608452)
1891,Bakewell (1839 onw),within,4.551886535140089,,304,POINT (421700.913612 365564.217777),POINT (421267.78572 370095.45064)
1891,Bala,within,0.025114852351613273,,164,POINT (289658.267971 334781.482914),POINT (289657.694848 334756.374602)
1891,Banbury,within,10.682194163244702,,229,POINT (443366.524979 231370.140394),POINT (445518.935622 220907.043311)
1891,Bangor,within,3.115808432140984,,518,POINT (259266.021737 366983.459036),POINT (258351.176437 369961.935201)
1891,Barnet,within,0.9599470251085493,,490,POINT (523074.986687 196451.410269),POINT (523378.668238 197362.056088)
1891,Barnsley,within,4.215970933786644,,514,POINT (430285.797478 379646.771075),POINT (431179.355316 383766.961035)
1891,Barnstaple,within,2.715089695493161,,342,POINT (262080.32874 139033.521546),POINT (259405.628626 138566.947485)
1891,Barrow upon Soar,within,14.961444198916247,,233,POINT (460534.881648 331448.68106),POINT (453494.92065 344650.338595)
1891,Barton upon Irwell (1850-1934),within,5.877010636558803,,144,POINT (370706.947406 386170.400981),POINT (375938.026727 383491.770144)
1891,Basford,within,2.9086970477272702,,55,POINT (450065.952872 364585.143981),POINT (451623.404437 362128.548137)
1891,Basingstoke,within,7.579869137603015,,330,POINT (457213.247523 157601.953184),POINT (449694.727846 158564.386563)
1891,Bath,within,5.248545029962648,,201,POINT (397878.735726 190737.438643),POINT (394294.587511 186903.236444)
1891,Beaminster,within,5.924260628736571,,293,POINT (356281.211796 114730.57416),POINT (350956.009252 117326.548323)
1891,Bedale,within,10.848207431256556,,56,POINT (436583.065295 479872.704343),POINT (428486.694877 472652.427996)
1891,Bedford,within,7.972681279526458,,460,POINT (490372.234317 258284.399663),POINT (490112.004075 266252.832822)
1891,Bedminster,within,6.5250042279415545,,332,POINT (343329.675694 161560.632068),POINT (340392.9264 155733.867635)
